"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central Europe and the Baltics","CEB","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5518.75305831655","5796.73065134968","6006.83866616549","6278.20558603486","6385.73161007141","6650.50949321385","6930.15333084084","7247.2613457843","7557.66071851727","7950.17899522792","8497.15059462275","9016.90890884301","9710.59624257988","10195.352925811","9933.00297112736","10044.9474933491","10306.1624285717","10396.9261492356","10616.9551082248","11040.2574608835","11573.6752731602","11995.5386210092","12608.0919180719","","",
"Switzerland","CHE","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","43305.2339623756","44132.1262555079","43682.1836717051","43759.4668881943","45126.7105032851","45901.0242366263","46999.848485818","47251.6819853096","48184.6489404358","49053.2412738393","49867.9726795749","49227.96461097","48421.1939140653","48887.5777670394","49615.1335507114","50939.829243157","51291.4549106946","53330.7833664433","55320.8101815448","56278.724060636","58120.8876430644","56369.2025570305","55541.1644411137","57893.8392047631","58711.2025881246","61356.2060412009","62947.6574357129","59708.0302243965","54416.038917053","58840.0086697374","63531.5182977091","60270.696413173","60854.2071895087","60505.5705000991","59730.3736040045","62132.4866491335","60445.4185889461","60337.2778934841","","",
"Channel Islands","CHI","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","3463.06087347864","3831.58436402156","3884.37500581655","3540.01580427745","3039.27613913936","2355.91122186303","2494.65555877115","2771.87052516214","2927.03996387698","3145.31053047953","3280.19255025382","3437.02599972392","2891.63734023734","2683.56093422539","2543.36517637573","2464.13476109312","2641.26762691418","2877.67051684828","3118.39964296258","3325.39067788678","3417.98408124455","3708.99711939932","4133.50289959942","4367.28902362695","4673.02105025503","5255.62245055246","5527.78959859311","5859.12536777881","6121.10471884716","5952.86215108744","6129.51694499877","6346.10258658982","6440.72197766332","6528.3080890721","6879.64377100009","7356.81078164367","7530.14391472974","7994.01382951053","8098.32704575967","8357.6079180916","9146.42011283422","9741.16380458143","10291.8059361322","10580.6043973858","10743.3566056096","10981.9985307742","11101.011150404","10956.5384410875","","",
"China","CHN","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","882.743076493968","969.274923935377","1047.74631692558","1113.12897250488","1195.44175790117","1284.65089711396","1398.13477978474","1549.40367159266","1704.80229059633","1866.68738628216","2078.71636861557","2357.41037333107","2683.23465646887","2826.07278455251","3196.26955295414","3459.18181520509","3632.02827618818","3990.43757655273","4221.25175606166","4523.58104558696","4860.58107185803","5223.93808957254","5473.79513499343","","",
"Cote d'Ivoire","CIV","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013.53394058468","1057.52921837532","1090.91015244041","972.735354271408","1076.57751918758","1076.60059315499","1242.02524412052","1600.83417885521","1434.54612792552","","","",
"Cameroon","CMR","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","792.70385116039","775.534081611686","719.954487639476","779.18737023983","839.278303800094","757.982463066817","777.345062233484","1091.13817511862","1057.75873052725","892.93495728614","1145.28317044782","1439.35695299539","1396.28193960657","1406.75688538039","1444.3771929022","1725.85678197055","1506.84519672258","1290.57891187757","1034.46065788218","958.047171781596","961.422788487714","793.012774303811","847.365616954802","851.663383265657","826.882169225811","813.402139241286","850.049048111241","897.873664652265","909.511504709685","887.191598972046","925.881750994768","957.658714402944","980.139597708161","1043.87040461848","1016.72730438757","1023.38807576241","1024.02028667592","1017.74249051671","1076.08960089206","1059.83963564738","1072.71136707708","1082.47615629771","1119.44566238766","1183.70202378706","1212.96426164716","1238.34672700964","1242.87733381382","","",
"Congo, Dem. Rep.","COD","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.885670964823","256.539189010438","244.053872933306","239.891809798841","224.001806730191","223.541717740532","214.208648805421","203.304506413326","202.117831530925","212.367374900888","218.762598482417","220.925305700461","208.701476789693","216.75054688501","198.908552956439","207.347878779951","242.204683095837","251.365736748936","272.362597028154","271.133164026581","282.242459676563","306.038388228142","265.999448893216","321.340957128546","","",
"Congo, Rep.","COG","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","838.137413391084","881.013552207653","866.893553500669","940.212261368197","876.563457785423","835.560329526293","742.966220933683","656.699368499838","596.669201407637","581.274940879863","777.951655148266","1094.15883459783","1597.03625842851","1399.87883098613","1324.18991590959","1105.6660582834","911.404470397525","812.700859235142","586.447741799333","477.954046830044","514.610972094372","686.864402363913","683.498963567476","402.841237421704","570.114861837045","199.494734810944","142.152098043909","324.614652225669","444.734901265089","356.982538943861","238.78545075733","385.70572784821","487.966351692761","639.331858346238","349.407920883118","184.703472818571","99.3368313725444","353.128907909991","410.201411225948","565.845453829396","492.151010742314","299.517064563493","423.389931047302","640.705638453494","795.385567536894","1066.25454282677","977.433626216533","766.812804517721","","",
"Colombia","COL","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","2347.34609781501","2411.65854251223","2565.03328004189","2725.67320656431","2704.05227683683","2695.64760526326","2882.7140787824","3078.6150407685","3264.66332582393","3260.53521898557","3339.60548771399","3253.24875886146","3208.67038497175","3116.31436931485","3145.79963914065","3122.15795714351","3370.78935042378","3246.55342768381","3382.37406214801","3318.5622077218","3303.127644896","3427.79942605537","3526.10241767482","3711.33027937675","4107.04179835084","4213.77999107346","4141.59728070758","4213.22699834718","4122.56793489344","3787.66008615815","3692.60628215089","3702.05338060818","3716.21911135842","3749.83343028453","3917.89379462735","4009.5873619494","4244.27614468401","4555.37237267344","4697.27158467414","4816.10594944944","5024.44650854168","5280.65368738103","5553.4246680171","5808.12028681924","6028.17928304266","6178.95589386664","6228.22709829512","6201.42881223625","","",
